Destination_country_name,Overall_rating,Location_rating,Cleanliness_rating,Rooms_rating,Service_rating,Sleepquality_rating,Value_rating,Hotel.stars,Hotel.price,Hotel.distance,Hotel.noofrooms,Destination_country_GDP,Destination_country_pdi,Destination_country_idv,Destination_country_mas,Destination_country_uai,Destination_country_lto,Destination_country_ivr
Albania,1.0600242026273972,0.9267159771117245,0.815131755352286,1.0949405953921065,0.8343586809875353,1.0397504898200727,1.0326764566923379,0.03907323325822818,-1.0363066884405459,-0.5057613124798654,-0.8075661089190725,-0.7858962311104193,1.390498897776465,-0.9768467532921248,1.6116701940969467,0.24194267853461046,0.729180080999968,-1.4239503084654486
Angola,0.013086718550955704,-0.2690465740001775,-0.2901316417355597,0.07915233219701956,0.8343586809875353,0.0,0.0607456739230787,0.03907323325822818,2.299830999157274,-0.24941695570493808,-0.4017904059180133,-0.7294834229529338,1.0450333331115047,-1.0649998725965466,-1.4740964320160745,-0.2347916634055084,-1.1985373745171888,1.5337777091183777
Argentina,0.013086718550955704,0.9267159771117245,0.815131755352286,0.07915233219701956,-1.1003860865197934,-1.0397504898200727,1.0326764566923379,-1.2112702310050736,-0.9969422319497161,-0.24941695570493808,-0.3679757640012583,-0.3486596606514986,-0.632942266689731,0.1691437976653594,0.37736354365173813,1.0047176256388006,-0.9890028684827153,0.6203617036880784
Australia,1.0600242026273972,0.9267159771117245,0.815131755352286,1.0949405953921065,0.8343586809875353,1.0397504898200727,1.0326764566923379,0.664244965389879,-0.14076530327416947,1.0164264540151787e-16,0.30348641120287556,1.9003400537536201,-1.2745211724960857,2.10851242236264,0.6345107624944899,-0.6638525711516153,-0.9470959672758206,1.0118257060153495
Austria,0.013086718550955704,-1.4648091251120796,0.815131755352286,1.0949405953921065,-0.133013702766129,1.0397504898200727,-0.9111851088461804,0.03907323325822818,-0.46552206932351475,0.009216189969765348,-0.3293304589535384,1.1775474849922707,-2.5083267605852297,0.5658328345352578,1.5602407503283962,0.24194267853461046,0.6872731797930732,0.6638577039466641
Bangladesh,1.0600242026273972,0.9267159771117245,0.815131755352286,1.0949405953921065,0.8343586809875353,1.0397504898200727,1.0326764566923379,-0.5860984988734227,0.4201782017201542,1.2245630957508937,-0.7882434563952126,-0.9352317768526859,0.8969766625408074,-0.9768467532921248,0.3259340998831878,-0.2347916634055084,0.14248346410344198,-1.2064703071725202
Belgium,1.0600242026273972,0.9267159771117245,0.815131755352286,1.0949405953921065,0.8343586809875353,0.0,1.0326764566923379,-1.2112702310050736,0.5677949135607657,-0.5057613124798654,-0.7689208038713526,1.0248606833198566,0.15669330968732112,1.4473640275794764,0.2745046561146374,1.3861050991908956,1.6092250063447568,0.40288170239515
Brazil,0.013086718550955704,-1.4648091251120796,-0.2901316417355597,0.07915233219701956,-1.1003860865197934,0.0,-0.9111851088461804,-0.5860984988734227,-0.4163164987099776,0.41433182523014145,0.651294156632355,-0.49819133587568226,0.35410220378158414,-0.18346867955232807,0.01735743727188567,0.5279832836986817,0.016762760482757825,0.48987370291232135
Bulgaria,0.013086718550955704,-0.2690465740001775,-0.2901316417355597,0.07915233219701956,0.8343586809875353,1.0397504898200727,1.0326764566923379,0.03907323325822818,-0.859166634231812,0.6729649709048451,-0.21822520694134356,-0.6563441809354366,0.4034544273051499,-0.5360811567700154,-0.4455075566450675,0.9570441914447887,1.0644352906551258,-1.380454308206863
Burkina Faso,-1.0338507655254856,-1.4648091251120796,-1.3953950388234055,-0.9366359309980673,-0.133013702766129,-1.0397504898200727,0.0607456739230787,0.03907323325822818,-0.37695204221914785,0.1190780571590198,-0.2568705119890635,-0.9436269714156129,0.4034544273051499,-1.1972295515531794,0.06878688104043602,-0.4731588343755678,-0.6956545600344524,-1.2934623076896916
Canada,1.0600242026273972,-0.2690465740001775,0.815131755352286,1.0949405953921065,0.8343586809875353,0.0,1.0326764566923379,-1.2112702310050736,-0.12108307502875462,-0.5423819348762836,-0.12644260745300873,1.239524401278055,-1.1264645019253885,1.667746825840531,0.17164576857753672,-0.806872873733651,-0.3184924491723999,0.8813377052395925
